,I usually know all the new and emerging music artists,A music artist's social channels are the most important place for me to check in on,I don’t really think about whether or not news organizations have accurate or unbiased information,I use social media for flirting and dating,My friends are more important to me than my family,"I am eager to see my favorite artists’ video updates on social media (e.g. Vlog, Instagram Story, Snapchat etc.)",I like to discover new artists before my friends,President Obama is the worst President in US history,It isn't fair to bring up young children in a big city,It is perfectly normal if a man wears women's clothes or vice versa,Success in America is more a result of hard work rather than good fortune (having connections and good background),The government is hiding what really happened on 9/11,I think it’s fine if college athletes lose their scholarships when they get hurt and can’t play anymore,People worry too much about the environment,Politics (General Interests),The world would be a better place without smartphones,It is more ethical to be vegetarian,National news,My faith is important to me,"I have been known to ""stalk"" someone on social media","Whilst watching TV, I search the internet for products I see advertised",Family over everything,I would pay for access to magazine content online,I like to go on vacation where activities are organized for me,Anyone who watches Fox News for news is dumb,I don't care what my carbon footprint is,"Across history, religion has done more bad than good",I have never left the country,Transgender people are just confused,I prefer watching TV on my laptop or tablet,cluster
mary magdalene,-0.04457530142877503,-0.015213953816483605,0.012848732943433583,-0.024631364585957993,-0.047741342233237005,-0.005862857360424689,-0.049509590618592864,0.09129496882508581,0.08157746846668962,-0.09886958733973539,0.12663492716775324,-0.013372008235928046,-0.004888422334959369,0.1015595157051167,0.05296204438017929,0.07882812571432438,-0.06299640623044245,0.02293186540450598,0.15909418792530788,-0.02743350835778577,-0.013012943600046012,0.09559949011343422,-0.04411956170042999,-0.006397949541046999,-0.10509599208683174,0.03896698955230288,-0.15033452968613767,0.02136413975064963,0.07019067277183832,-0.02362831575251062,10
operation finale,0.058135339357532345,0.06277282942320783,0.034025569906605324,0.06852960913391609,0.07574762978159993,0.05820101993358806,0.058534994161623166,0.04922795640827157,0.0911963751443361,0.020952994068434067,0.024451776264989317,0.01350853586745332,0.08935752552731163,0.051156243707233345,0.003188123851405683,0.05385426950461178,0.03882595632077984,-0.044783236937864235,-0.000248698576436307,0.03662791155286527,0.033290326785823,-0.00017466526669765448,0.07781672460748329,0.0270712644135902,0.017834982525879367,0.07930989061506166,0.052985998043033916,0.03153368521152125,0.06526159035013704,0.10184411341957633,2
palau the movie,-0.005228844796234311,0.044985224339996244,0.016073574307008398,0.08181722429288932,0.11009607702235627,0.009390474042593216,0.01847436759688431,0.07871565137278436,0.06004934791407568,0.025948013427759264,0.044551882330215314,-0.001065156969342923,0.06146680251401518,0.050768108694463576,-0.010731555297395251,0.04145888431920364,0.04433267400915958,-0.045003541183146895,0.008867581815914655,0.03996124269656992,0.0018917037601699493,-0.05215127219666563,0.07884741933268766,0.020651800176900686,0.0266093680211964,0.07643927643097939,0.030229699745760036,0.037955110487584404,0.05302383930590698,0.05240751991714998,3
peterloo,0.03406224270526764,0.03829512327539175,0.0733846997797962,0.04368535401262294,0.06012396360787134,0.0025385722167814706,0.01617248221141665,0.06625717394647243,0.022523046844034833,-0.005177540916802614,0.03039628346571624,0.015171046787424591,0.06993555844653931,0.043856877834737074,-0.009575882793920465,0.05744116711778402,0.04682254800898725,-0.06839356312382394,0.008729705770025215,0.07031929281182445,0.024881073505331197,-0.005869785119552662,0.04853054328715331,0.011963192226877029,0.00900800431759785,0.04925345435666531,0.008214035771361483,0.024715989568865643,0.02193135776125868,0.06975614346502174,3
phantom thread,0.006410654258001053,0.029576325342112464,0.007618627138189421,0.042625676590396205,0.06816621072500728,0.0024443397058304117,0.0013206856459372918,0.007152369252527879,0.03083598909205107,0.02174810599606125,-0.013261350244706177,0.033047895608942,0.03123435199750918,0.006172657634353262,-0.0028243928635681426,0.029492715862427993,0.06520819870928835,-0.050575666522663265,-0.04998254478884431,0.07355751123829482,0.006774763960331859,-0.06665014890023646,0.06939664162978798,0.0012742846317955747,0.01904685316911639,0.028191050098979598,0.044726914272332746,0.02309251042200894,0.008208589995270188,0.01770181868514603,3
stan & ollie,-0.13449758625905556,-0.10569918738077372,-0.10257921688223745,-0.11491613296246714,-0.0557308543325879,-0.08774970979168392,-0.14104221482072124,0.08976323949081574,0.06324570835054627,-0.11487525043940999,0.03531110568523768,-0.10178510777861571,-0.03636226212209975,0.06342971481731235,0.09593124683694648,0.042313891172563206,-0.057634611863538965,0.049074896641360166,0.03233510655400265,-0.10415222701088184,-0.07485070338106595,-0.014978137133946301,-0.08383263602768964,-0.06481639573838438,-0.026139440860772245,-6.695528216665858e-06,-0.06313288756961224,-0.049975174766914515,0.029649542973777337,-0.15800086168948901,14
the 15:17 to paris,-0.025630937777332247,-0.04591645489144258,0.017335889398153753,0.0028898229955367227,-0.022426299474570505,-0.005680211206212621,-0.006824594503018949,0.08911482836775905,0.037062727282117486,-0.03738542330596839,0.03188676230599084,-0.010374522318332191,0.052640685754046374,0.03765523359168879,0.030534353920101925,0.03967845849178189,0.014139538427854315,0.05375217269943364,0.031362405924113324,0.017790365533186664,0.0029801032258286175,0.009324774828837201,0.0431676694948957,0.008778077666178108,-0.0280688401543866,0.0756067933122602,-0.041096936306825094,-0.027087407424721655,0.06289656600385954,0.010497658577223984,7
the disaster artist,0.032593027500130795,0.04924750526215829,-0.0048257209088895525,0.10233095595129513,0.08729815051025874,0.05583623127754578,0.04071202155711712,0.016769630489383958,0.013666495522241001,0.05971188493575927,-0.026945872967241075,0.00991630985972601,0.026655063648427013,0.023848033671335284,0.0221647018673522,0.00559821525255122,0.07872476544498924,0.003913422737485878,-0.03836622422342241,0.0769824975860178,0.021943176808947196,-0.03091015989822235,0.04327905609814055,-0.01116946736520999,0.052560030050166545,0.02479941469136268,0.051397928879854615,0.008356454170262456,0.014805053119670647,0.07869392067320252,3
the iron orchard,0.04338396180847848,0.0650409184595464,0.052128519558642616,0.07416355908281844,0.07308424216101833,0.03247812483360332,0.016121649799003268,0.032133569740820406,0.08399460301130929,0.005818231014382974,0.03228096460146898,0.04513568037483012,0.019283133203631203,0.05671314394825258,-0.03712400973125676,0.057291091491131346,0.062445600175569105,-0.036757591737143436,-0.004219674440697041,0.06358494539601195,0.019518953688607565,0.0016876087193098965,0.07888676323072813,0.02169509742557757,0.017426250603269217,0.05909474478211457,0.013257696340857938,0.04344035130434565,0.0630817028381557,0.13193592788655947,3
trial by fire,0.055579201969617936,0.05951630213023268,0.015142094493485109,0.0395346228839068,0.021931452864404205,0.04206525033775663,0.030406726337554563,0.04918738417155691,0.06272898622289624,-0.003697952827337342,0.03363538818551157,0.04804211687304874,0.037638212769627644,0.04492375049610231,-0.005163969663680934,0.022416645069270574,-0.0034327193413240253,-0.02337850358884605,0.02373580325207278,0.047950396026682884,0.02956078645366156,0.02320977113783748,0.03809373284298742,0.014274279729234063,0.003282058792509285,0.05643488268701044,0.009400484912547413,0.031222556728724427,0.05915787716611873,0.04808460515499305,1
